n	r	m
{"id":165,"labels":["Article"],"properties":{"action":"기업성장집합투자업 영위","concept":"기업성장집합투자업 및 기업성장집합투자업자의 정의","full_text":"제229조제6호에 따른 기업성장집합 투자기구를 통한 집합투자를 영업으로 하는 것을 말한다.<신설 2025. 9. 16.> 3! 이 법에서 “기업성장집합투자업자”란 집합투자업자 중 기업성장집합투자업을 영위하는 자를 말한다.<신설 2025. 9. 16.> [시행일: 2026. 3. 17.]","number":"제229조제6호 관련","object":"기업성장집합투자기구(제229조제6호)를 통한 집합투자","subject":"기업성장집합투자업자"},"type":"node"}		
{"id":166,"labels":["Article"],"properties":{"action":"노력하여야 한다","concept":"전통문화의 계승·발전 및 민족문화 창달 의무","full_text":"제9조 국가는 전통문화의 계승ㆍ발전과 민족문화의 창달에 노력하여야 한다.","number":"제9조","object":"전통문화의 계승·발전과 민족문화의 창달","subject":"국가"},"type":"node"}		
{"id":167,"labels":["Article"],"properties":{"action":"이 법이 정하는 바에 따름","concept":"다른 법률과의 관계","full_text":"제10조(다른 법률과의 관계) ① 금융투자업에 관하여는 다른 법률에 특별한 규정이 있는 경우를 제외하고는 이 법이 정하는 바에 따른다. ② 금융투자업자가 금융투자업을 영위하는 경우에는 「형법」","number":"제10조","object":"금융투자업 영위 및 관련 법률 적용","subject":"금융투자업자"},"type":"node"}		
{"id":168,"labels":["Article"],"properties":{"action":"기업어음증권 발행 및 관련 법령(전자어음법 등) 적용","concept":"기업어음증권 발행 시 전자어음법 적용 및 특정 조항 적용 배제","full_text":"제246조를 적용하지 아니한다. ③ 기업어음증권을 발행하는 경우에는 「전자어음의 발행 및 유통에 관한 법률」","number":"제3항","object":"기업어음증권","subject":"기업어음증권 발행인"},"type":"node"}		
{"id":169,"labels":["Article"],"properties":{"action":"적용하지 아니함","concept":"제6조의2(금융투자업)의 적용 배제","full_text":"제6조의2를 적용하지 아니한다.<신설 2010. 3. 12.> 제2편 금융투자업 법제처 14 국가법령정보센터 자본시장과 금융투자업에 관한 법률 제1장 금융투자업의 인가 및 등록 제1절 인가요건 및 절차","number":"제6조의2","object":"제6조의2"},"type":"node"}		
{"id":170,"labels":["Article"],"properties":{"action":"금융투자업을 영위하여서는 아니 된다","concept":"무인가 영업행위 금지","full_text":"제11조(무인가 영업행위 금지) 누구든지 이 법에 따른 금융투자업인가(변경인가를 포함한다)를 받지 아니하고는 금융투자업(투자자문업, 투자일임업 및 일반 사모집합투자업은 제외한다. 이하 이 절에서 같다)을 영위하여서는 아니 된다. <개정 2015. 7. 24., 2021. 4. 20.>","number":"제11조","object":"금융투자업(투자자문업, 투자일임업 및 일반 사모집합투자업은 제외)","subject":"누구든지"},"type":"node"}		
{"id":171,"labels":["Article"],"properties":{"action":"금지","concept":"알선ㆍ중개행위 금지","full_text":"제11조의2(알선ㆍ중개행위 금지) 누구든지","number":"제11조의2","object":"알선ㆍ중개행위","subject":"누구든지"},"type":"node"}		
{"id":172,"labels":["Article"],"properties":{"action":"알선하거나 중개하여서는 아니 된다","concept":"무인가 영업행위 목적의 계좌 대여 알선 및 중개 금지","full_text":"제11조에 따른 무인가 영업행위를 목적으로 계좌의 대여를 알선하거나 중개하여서는 아니 된다. [본조신설 2021. 6. 8.]","number":"제11조의2","object":"제11조에 따른 무인가 영업행위를 목적으로 하는 계좌의 대여","subject":"누구든지"},"type":"node"}		
{"id":173,"labels":["Article"],"properties":{"action":"금융위원회로부터 하나의 금융투자업인가를 받아야 함","concept":"금융투자업의 인가 요건 및 절차","full_text":"제12조(금융투자업의 인가) ① 금융투자업을 영위하려는 자는 다음 각 호의 사항을 구성요소로 하여 대통령령으로 정하는 업무 단위(이하 “인가업무 단위”라 한다)의 전부나 일부를 선택하여 금융위원회로부터 하나의 금융투자업인가를 받아야 한다. <개정 2008. 2. 29.> 1. 금융투자업의 종류(투자매매업, 투자중개업, 집합투자업 및 신탁업을 말하되, 투자매매업 중 인수업을 포함한다) 2. 금융투자상품(집합투자업의 경우에는","number":"제12조","object":"대통령령으로 정하는 업무 단위(인가업무 단위)의 전부나 일부","subject":"금융투자업을 영위하려는 자"},"type":"node"}		
{"id":174,"labels":["Article"],"properties":{"action":"정의함","concept":"집합투자기구의 종류 정의","full_text":"제229조에 따른 집합투자기구의 종류를 말하며, 신 탁업의 경우에는","number":"제229조","object":"집합투자기구의 종류"},"type":"node"}		
{"id":175,"labels":["Article"],"properties":{"action":"인가를 받기 위한 요건(자기자본, 사업계획, 인적·물적 설비 등)을 모두 갖추어야 함","concept":"금융투자업인가의 요건","full_text":"제103조제1항 각 호의 신탁재산을 말한다)의 범위(증권, 장내파생상품 및 장외파생상품을 말하되, 증권 중 국채증권, 사채권, 그 밖에 대통령령으로 정하는 것을 포 함하고 파생상품 중 주권을 기초자산으로 하는 파생상품ㆍ그 밖에 대통령령으로 정하는 것을 포함한다) 3. 투자자의 유형(전문투자자 및 일반투자자를 말한다. 이하 같다) ② 제1항에 따라 금융투자업인가를 받으려는 자는 다음 각 호의 요건을 모두 갖추어야 한다. <개정 2010. 3. 12., 2013. 5. 28., 2015. 7. 31.> 1. 다음 각 목의 어느 하나에 해당하는 자일 것 가. 「상법」에 따른 주식회사이거나 대통령령으로 정하는 금융기관 나. 외국 금융투자업자(외국 법령에 따라 외국에서 금융투자업에 상당하는 영업을 영위하 는 자를 말한다. 이하 같다)로서 외국에서 영위하고 있는 영업에 상당하는 금융투자업 수행에 필요한 지점, 그 밖의 영업소를 설치한 자 2. 인가업무 단위별로 5억원 이상으로서 대통령령으로 정하는 금액 이상의 자기자본을 갖출 것 3. 사업계획이 타당하고 건전할 것 4. 투자자의 보호가 가능하고 그 영위하고자 하는 금융투자업을 수행하기에 충분한 인력과 전산설비, 그 밖의 물적 설비를 갖출 것 5. 임원이 「금융회사의 지배구조에 관한 법률」","number":"제12조","object":"금융투자업인가","subject":"금융투자업인가를 받으려는 자"},"type":"node"}		
{"id":176,"labels":["Article"],"properties":{"action":"충분한 출자능력, 건전한 재무상태, 사회적 신용을 갖추고 이해상충 방지 체계를 구축해야 함","concept":"금융투자업 인가를 위한 대주주 요건 및 이해상충 방지 체계 구축","full_text":"제5조에 적합할 것 6. 대주주나 외국 금융투자업자가 다음 각 목의 구분에 따른 요건을 갖출 것 가. 제1호가목의 경우 대주주(최대주주의 특수관계인인 주주를 포함하며, 최대주주가 법인 인 경우 그 법인의 중요한 경영사항에 대하여 사실상 영향력을 행사하고 있는 자로서 대 통령령으로 정하는 자를 포함한다)가 충분한 출자능력, 건전한 재무상태 및 사회적 신용 을 갖출 것 법제처 15 국가법령정보센 터 자본시장과 금융투자업에 관한 법률 나. 제1호나목의 경우 외국 금융투자업자가 충분한 출자능력, 건전한 재무상태 및 사회적 신용을 갖출 것 6의2. 대통령령으로 정하는 건전한 재무상태와 사회적 신용을 갖출 것 7. 금융투자업자와 투자자 간, 특정 투자자와 다른 투자자 간의 이해상충(利害相衝)을 방지하 기 위한 체계를 갖출 것 ③ 제2항의 인가요건에 관하여 필요한 세부사항은 대통령령으로 정한다.","number":"제12조","object":"금융투자업 인가 요건 및 세부 사항","subject":"대주주(최대주주의 특수관계인 포함), 외국 금융투자업자 및 금융투자업자"},"type":"node"}		
{"id":177,"labels":["Article"],"properties":{"action":"금융위원회로부터 하나의 금융투자업인가를 받아야 함","concept":"금융투자업의 인가 요건 및 절차","full_text":"제12조(금융투자업의 인가) ① 금융투자업을 영위하려는 자는 다음 각 호의 사항을 구성요소로 하여 대통령령으로 정하는 업무 단위(이하 “인가업무 단위”라 한다)의 전부나 일부를 선택하여 금융위원회로부터 하나의 금융투자업인가를 받아야 한다. <개정 2008. 2. 29.> 1. 금융투자업의 종류(투자매매업, 투자중개업, 집합투자업 및 신탁업을 말하되, 투자매매업 중 인수업을 포함한다) 2. 금융투자상품(집합투자업의 경우에는","number":"제12조","object":"대통령령으로 정하는 업무 단위(인가업무 단위)의 전부나 일부","subject":"금융투자업을 영위하려는 자"},"type":"node"}		
{"id":178,"labels":["Article"],"properties":{"action":"정의함","concept":"집합투자기구의 종류 정의","full_text":"제229조에 따른 집합투자기구의 종류를 말하며, 신 탁업의 경우에는","number":"제229조","object":"집합투자기구의 종류"},"type":"node"}		
{"id":179,"labels":["Article"],"properties":{"action":"인가 요건(자기자본, 사업계획, 인력 및 물적 설비 등)을 모두 갖추어야 함","concept":"금융투자업 인가의 요건","full_text":"제103조제1항 각 호의 신탁재산을 말한다)의 범위(증권, 장내파생상품 및 장외파생상품을 말하되, 증권 중 국채증권, 사채권, 그 밖에 대통령령으로 정하는 것을 포 함하고 파생상품 중 주권을 기초자산으로 하는 파생상품ㆍ그 밖에 대통령령으로 정하는 것을 포함한다) 3. 투자자의 유형(전문투자자 및 일반투자자를 말한다. 이하 같다) ② 제1항에 따라 금융투자업인가를 받으려는 자는 다음 각 호의 요건을 모두 갖추어야 한다. <개정 2010. 3. 12., 2013. 5. 28., 2015. 7. 31., 2025. 9. 16.> 1. 다음 각 목의 어느 하나에 해당하는 자일 것 가. 「상법」에 따른 주식회사이거나 대통령령으로 정하는 금융기관 나. 외국 금융투자업자(외국 법령에 따라 외국에서 금융투자업에 상당하는 영업을 영위하 는 자를 말한다. 이하 같다)로서 외국에서 영위하고 있는 영업에 상당하는 금융투자업 수행에 필요한 지점, 그 밖의 영업소를 설치한 자 2. 인가업무 단위별로 5억원 이상으로서 대통령령으로 정하는 금액 이상의 자기자본을 갖출 것 3. 사업계획이 타당하고 건전할 것 4. 투자자의 보호가 가능하고 그 영위하고자 하는 금융투자업을 수행하기에 충분한 인력과 전산설비, 그 밖의 물적 설비를 갖출 것 5. 임원이 「금융회사의 지배구조에 관한 법률」","number":"제12조","object":"금융투자업인가","subject":"금융투자업인가를 받으려는 자"},"type":"node"}		
{"id":180,"labels":["Article"],"properties":{"action":"요건을 갖춤","concept":"대주주 및 외국 금융투자업자의 요건 충족","full_text":"제5조에 적합할 것 6. 대주주나 외국 금융투자업자가 다음 각 목의 구분에 따른 요건(기업성장집합투자업의 경우에는","number":"제6호","object":"다음 각 목의 구분에 따른 요건","subject":"대주주나 외국 금융투자업자"},"type":"node"}		
{"id":181,"labels":["Article"],"properties":{"action":"충분한 출자능력, 건전한 재무상태, 사회적 신용 및 이해상충 방지 체계를 갖추어야 함","concept":"금융투자업 인가요건(대주주 요건 및 이해상충 방지 체계 등)","full_text":"제16조제2항의 완화된 요건으로 한다)을 갖출 것 가. 제1호가목의 경우 대주주(최대주주의 특수관계인인 주주를 포함하며, 최대주주가 법인 인 경우 그 법인의 중요한 경영사항에 대하여 사실상 영향력을 행사하고 있는 자로서 대 통령령으로 정하는 자를 포함한다)가 충분한 출자능력, 건전한 재무상태 및 사회적 신용 을 갖출 것 나. 제1호나목의 경우 외국 금융투자업자가 충분한 출자능력, 건전한 재무상태 및 사회적 신용을 갖출 것 6의2. 대통령령으로 정하는 건전한 재무상태와 사회적 신용을 갖출 것 법제처 16 국가법령정보센 터 자본시장과 금융투자업에 관한 법률 7. 금융투자업자와 투자자 간, 특정 투자자와 다른 투자자 간의 이해상충(利害相衝)을 방지하 기 위한 체계를 갖출 것 ③ 제2항의 인가요건에 관하여 필요한 세부사항은 대통령령으로 정한다. [시행일: 2026. 3. 17.]","number":"제16조","object":"금융투자업 인가를 위한 인적·물적·재무적 요건 및 세부사항","subject":"금융투자업 인가를 받으려는 자(대주주 및 외국 금융투자업자 포함)"},"type":"node"}		
{"id":182,"labels":["Article"],"properties":{"action":"개인정보 보호지침의 제정, 보급 및 시정 권고","concept":"개인정보 보호지침의 제정 및 보급","full_text":"제12조(개인정보 보호지침) ①","number":"제12조","object":"개인정보 보호지침","subject":"개인정보보호위원회 및 중앙행정기관의 장"},"type":"node"}		
{"id":183,"labels":["Article"],"properties":{"action":"인가를 신청하고 이에 대해 심사를 수행함","concept":"인가의 신청 및 심사 절차","full_text":"제13조(인가의 신청 및 심사) ①","number":"제13조","object":"인가","subject":"인가를 받으려는 자 및 인가권자(행정청)"},"type":"node"}		
{"id":184,"labels":["Article"],"properties":{"action":"인가신청서 제출 및 내용 심사","concept":"금융투자업 인가 신청 및 심사 절차","full_text":"제12조제1항에 따른 금융투자업인가를 받으려는 자는 인가신 청서를 금융위원회에 제출하여야 한다. <개정 2008. 2. 29.> ② 금융위원회는 제1항의 인가신청서를 접수한 경우에는 그 내용을 심사하여 3개월(","number":"제12조","object":"금융투자업인가 신청서","subject":"금융투자업인가를 받으려는 자 및 금융위원회"},"type":"node"}		
{"id":185,"labels":["Article"],"properties":{"action":"금융투자업인가 여부 결정, 통지, 조건 부과 및 공고","concept":"금융투자업인가의 절차, 조건 부과 및 공고","full_text":"제14조 에 따른 예비인가를 받은 경우에는 1개월) 이내에 금융투자업인가 여부를 결정하고, 그 결과 와 이유를 지체 없이 신청인에게 문서로 통지하여야 한다. 이 경우 인가신청서에 흠결(欠缺 )이 있는 때에는 보완을 요구할 수 있다.<개정 2008. 2. 29.> ③ 제2항 및 제5항 후단의 심사기간을 산정함에 있어서 인가신청서 흠결의 보완기간 등 총 리령으로 정하는 기간은 심사기간에 산입(算入)하지 아니한다.<개정 2008. 2. 29., 2013. 5. 28.> ④ 금융위원회는 제2항에 따라 금융투자업인가를 하는 경우에는 경영의 건전성 확보 및 투 자자 보호에 필요한 조건을 붙일 수 있다.<개정 2008. 2. 29.> ⑤ 제4항에 따라 조건이 붙은 금융투자업인가를 받은 자는 사정의 변경, 그 밖에 정당한 사 유가 있는 경우에는 금융위원회에 조건의 취소 또는 변경을 신청할 수 있다. 이 경우 금융위 원회는 2개월 이내에 조건의 취소 또는 변경 여부를 결정하고, 그 결과를 지체 없이 신청인 에게 문서로 통지하여야 한다.<개정 2008. 2. 29.> ⑥ 금융위원회는 제2항에 따라 금융투자업인가를 하거나 제5항에 따라 그 인가의 조건을 취 소 또는 변경한 경우에는 다음 각 호의 사항을 관보 및 인터넷 홈페이지 등에 공고하여야 한 다.<개정 2008. 2. 29.> 1. 금융투자업인가의 내용 2. 금융투자업인가의 조건(조건을 붙인 경우에 한한다) 3. 금융투자업인가의 조건을 취소하거나 변경한 경우 그 내용(조건을 취소하거나 변경한 경 우에 한한다) ⑦ 제1항부터 제6항까지의 규정에 따른 인가신청서 또는 조건의 취소ㆍ변경 신청서의 기재 사항ㆍ첨부서류 등 인가신청 또는 조건의 취소ㆍ변경의 신청에 관한 사항과 심사의 방법ㆍ 절차, 그 밖에 필요한 사항은 대통령령으로 정한다.<개정 2013. 5. 28.>","number":"제13조","object":"금융투자업인가 신청 및 인가 조건","subject":"금융위원회"},"type":"node"}		
{"id":186,"labels":["Article"],"properties":{"action":"예비인가 신청, 결과 결정·통지 및 조건 부과","concept":"은행업 예비인가의 신청 및 처리 절차","full_text":"제14조(예비인가) ① 은행업의 인가를 받으려는 자는 미리 금융위원회에 예비인가를 신청할 수 있다.\n② 금융위원회는 제1항에 따른 예비인가 신청을 받으면 2개월 이내에 예비인가 여부를 결정하여 신청인에게 그 결과와 이유를 지체 없이 문서로 통지하여야 한다. 다만, 신청내용의 보완이 필요한 경우 등 대통령령으로 정하는 사유가 있는 경우에는 그 기간을 연장할 수 있다.\n③ 금융위원회는 제1항에 따른 예비인가에 조건을 붙일 수 있다.","number":"제14조","object":"은행업 예비인가","subject":"은행업 인가 신청자 및 금융위원회"},"type":"node"}		
{"id":187,"labels":["Article"],"properties":{"action":"예비인가 신청 및 신청 결과 통보","concept":"금융투자업 예비인가의 신청 및 처리 절차","full_text":"제12조에 따른 금융투자업인가(이하 이 조에서 “본인가”라 한다)를 받으려 는 자는 미리 금융위원회에 예비인가를 신청할 수 있다. <개정 2008. 2. 29.> ② 금융위원회는 예비인가를 신청받은 경우에는 2개월 이내에","number":"제13조","object":"금융투자업 예비인가","subject":"금융투자업인가를 받으려는 자 및 금융위원회"},"type":"node"}		
{"id":188,"labels":["Article"],"properties":{"action":"예비인가 여부 심사·결정·통지, 보완 요구, 조건 부과 및 이행 여부 확인","concept":"금융투자업 예비인가의 심사 절차, 기간 산정 및 조건 부과","full_text":"제12조제2항 각 호의 요건을 갖출 수 있는지 여부를 심사하여 예비인가 여부를 결정하고, 그 결과와 이유를 지체 없이 신청인에게 문서로 통지하여야 한다. 이 경우 예비인가신청에 관하여 흠결이 있는 때에는 보완을 요구할 수 있다.<개정 2008. 2. 29.> ③ 제2항의 심사기간을 산정함에 있어서 예비인가신청과 관련된 흠결의 보완기간 등 총리령으로 정하는 기간은 심사기간에 산입하지 아니한다.<개정 2008. 2. 29.> ④ 금융위원회는 제2항에 따라 예비인가를 하는 경우에는 경영의 건전성 확보 및 투자자 보호에 필요한 조건을 붙일 수 있다.<개정 2008. 2. 29.> 법제처 17 국가법령정보센터 자본시장과 금융투자업에 관한 법률 ⑤ 금융위원회는 예비인가를 받은 자가 본인가를 신청하는 경우에는 제4항에 따른 예비인가의 조건을 이행하였는지 여부와","number":"제12조","object":"예비인가 신청 및 경영의 건전성 확보와 투자자 보호를 위한 조건","subject":"금융위원회"},"type":"node"}		
{"id":189,"labels":["Article"],"properties":{"action":"본인가 여부 결정 및 예비인가 관련 세부 사항의 대통령령 위임","concept":"본인가 결정 및 예비인가 절차에 관한 사항","full_text":"제12조제2항 각 호의 요건을 갖추었는지 여부를 확인한 후 본인가 여부를 결정하여야 한다.<개정 2008. 2. 29.> ⑥ 제1항부터 제5항까지의 규정에 따른 예비인가의 신청서 및 그 기재사항ㆍ첨부서류 등 예 비인가의 신청에 관한 사항과 예비인가심사의 방법ㆍ절차, 그 밖에 예비인가에 관하여 필요 한 사항은 대통령령으로 정한다.","number":"제12조","object":"본인가 여부 및 예비인가의 신청·심사 절차 등에 관한 사항","subject":"금융위원회(또는 인가권자)"},"type":"node"}		
{"id":190,"labels":["Article"],"properties":{"action":"유지","concept":"인가요건 등의 유지","full_text":"제15조(인가요건 등의 유지) ① 금융투자업자는","number":"제15조","object":"인가요건 등","subject":"금융투자업자"},"type":"node"}		
{"id":191,"labels":["Article"],"properties":{"action":"영업을 영위함","concept":"금융투자업의 인가 및 영업 영위","full_text":"제12조에 따른 금융투자업인가를 받아 그 영업을 영위함에 있어서","number":"제12조","object":"금융투자업","subject":"금융투자업자(인가를 받은 자)"},"type":"node"}		
{"id":192,"labels":["Article"],"properties":{"action":"유지하여야 한다","concept":"인가요건의 유지 의무","full_text":"제12조제2항 각 호의 인가요건(같은 조 같은 항 제6호가목 및 같은 항 제 6호의2를 제외하며, 같은 항 제2호 및 같은 항 제6호나목의 경우에는 대통령령으로 정하는 완화된 요건을 말한다)을 유지하여야 한다. <개정 2010. 3. 12., 2015. 7. 31., 2021. 6. 8.>","number":"제12조제2항","object":"제12조제2항 각 호의 인가요건(제6호가목 및 제6호의2 제외, 제2호 및 제6호나목은 완화된 요건 포함)","subject":"금융투자업자(인가를 받은 자)"},"type":"node"}		
{"id":193,"labels":["Article"],"properties":{"action":"영업을 영위","concept":"업무 단위 추가등록에 따른 영업 영위","full_text":"제16조의2에 따라 업무 단위 추가등록을 한 투자매매업자 또는 투자중개업자는 업무 단위 추가등록 이후 그 영업을 영위할 때에는","number":"제16조의2","object":"추가등록한 업무 단위","subject":"업무 단위 추가등록을 한 투자매매업자 또는 투자중개업자"},"type":"node"}		
{"id":194,"labels":["Article"],"properties":{"action":"유지하여야 함","concept":"법적 요건의 유지 의무","full_text":"제12조제2항 각 호의 요건(같은 항 제3호, 제6호 및 제6호의2는 제외하며, 같은 항 제2호의 경우에는 대통령령으로 정하는 완화된 요건을 말 한다)을 유지하여야 한다.<신설 2021. 6. 8.> [제목개정 2021. 6. 8.]","number":"제12조제2항","object":"제12조제2항 각 호의 요건(제3호, 제6호, 제6호의2 제외 및 제2호의 완화된 요건 포함)","subject":"해당 법령의 적용을 받는 자(사업자 등)"},"type":"node"}		
{"id":195,"labels":["Article"],"properties":{"action":"업무를 추가하거나 인가받은 사항을 변경함","concept":"업무의 추가 및 인가의 변경","full_text":"제16조(업무의 추가 및 인가의 변경) ① 금융투자업자는","number":"제16조","object":"금융투자업 및 인가 사항","subject":"금융투자업자"},"type":"node"}		
{"id":196,"labels":["Article"],"properties":{"action":"인가업무 단위 추가 및 영위","concept":"금융투자업의 추가 인가","full_text":"제12조에 따라 인가받은 인가업무 단위 외에 다른 인가업무 단위를 추가하여 금융투자업을 영위하려는 경우에는","number":"제16조","object":"다른 인가업무 단위","subject":"금융투자업자"},"type":"node"}		
{"id":197,"labels":["Article"],"properties":{"action":"표준지침 및 소관 분야별 세부 지침을 정하여 개인정보처리자에게 그 준수를 권고함","concept":"개인정보보호 지침의 수립 및 준수 권고","full_text":"제12조(개인정보보호 지침) ① 개인정보 보호위원회는 개인정보의 처리에 관한 표준 지침(이하 “표준지침”이라","number":"제12조","object":"개인정보의 처리에 관한 표준 지침 및 세부적인 지침","subject":"개인정보 보호위원회 및 관계 중앙행정기관의 장"},"type":"node"}		
{"id":198,"labels":["Article"],"properties":{"action":"변경인가를 받아야 함","concept":"금융위원회의 변경인가 의무","full_text":"제 13조에 따라 금융위원회의 변경인가를 받아야 한다. 이 경우","number":"제13조","object":"변경 사항","subject":"변경인가를 받으려는 자"},"type":"node"}		
{"id":199,"labels":["Article"],"properties":{"action":"적용 및 변경인가","concept":"변경인가 시 제14조의 준용 및 절차","full_text":"제14조를 적용한다. <개정 2008. 2. 29., 2009. 2. 3.> ② 제1항에 따른 변경인가를 함에 있어서","number":"제1항 및 제2항","object":"제14조 및 변경인가 사항","subject":"인가권자(행정청)"},"type":"node"}		
{"id":200,"labels":["Article"],"properties":{"action":"대통령령으로 정하는 완화된 요건을 적용함","concept":"인가요건의 완화된 요건 적용","full_text":"제12조제2항제6호의 인가요건에 관하여는 같은 호에도 불구하고 대통령령으로 정하는 완화된 요건을 적용한다.<신설 2010. 3. 12.>","number":"제12조","object":"제12조제2항제6호의 인가요건","subject":"관계 행정기관"},"type":"node"}		
{"id":201,"labels":["Article"],"properties":{"action":"업무 단위를 추가하여 등록","concept":"투자매매업 등의 업무 단위 추가 및 등록 절차","full_text":"제16조의2(투자매매업 등의 업무 단위 추가 및 등록) ①","number":"제16조의2","object":"투자매매업 또는 투자중개업의 업무 단위","subject":"금융투자업자"},"type":"node"}		
{"id":202,"labels":["Article"],"properties":{"action":"대통령령으로 정하는 업무 단위를 추가하여 금융투자업을 영위","concept":"금융투자업의 변경인가","full_text":"제12조에 따라 금융투자업인가를 받은 투자매매업자 또는 투자중개업자(겸영금융투자업자는 제외한다)가 같은 금융투자업의 종류 에 속하는 금융투자상품을 구성요소로 하여 대통령령으로 정하는 업무 단위를 추가하여 금융 투자업을 영위하려는 경우에는","number":"제13조","object":"같은 금융투자업의 종류에 속하는 금융투자상품을 구성요소로 하는 업무 단위","subject":"제12조에 따라 금융투자업인가를 받은 투자매매업자 또는 투자중개업자(겸영금융투자업자는 제외)"},"type":"node"}		
{"id":203,"labels":["Article"],"properties":{"action":"금융위원회에 등록","concept":"업무 단위 추가등록","full_text":"제12조제1항에도 불구하고 금융위원회에 이를 등록(이하 “업 무 단위 추가등록”이라 한다)하여야 한다. ② 제1항에 따라 업무 단위 추가등록을 하려는 금융투자업자는","number":"제12조","object":"업무 단위","subject":"금융투자업자"},"type":"node"}		
{"id":204,"labels":["Article"],"properties":{"action":"업무 단위 추가등록 여부 결정, 통지, 조건 부과 및 공고","concept":"업무 단위 추가등록의 절차 및 방법","full_text":"제12조제2항 각 호의 요건 (같은 항 제3호 및 제6호는 제외한다)을 갖추어 금융위원회에 등록신청서를 제출하여야 한다 . ③ 금융위원회는 제2항의 등록신청서를 접수한 경우에는 그 내용을 검토하여 2개월 이내에 업무 단위 추가등록 여부를 결정하고, 그 결과와 이유를 지체 없이 신청인에게 문서로 통지 하여야 한다. 이 경우 등록신청서에 흠결이 있는 때에는 보완을 요구할 수 있다. ④ 금융위원회는 제3항에 따라 업무 단위 추가등록 여부를 결정하는 경우 다음 각 호의 어느 하나에 해당하는 사유가 없으면 등록을 거부하여서는 아니 된다. 1. 제2항에 따른 업무 단위 추가등록 요건을 갖추지 아니한 경우 2. 제2항에 따른 등록신청서를 거짓으로 작성한 경우 3. 제3항 후단에 따른 보완요구를 이행하지 아니한 경우 ⑤ 금융위원회는 제3항에 따라 업무 단위 추가등록을 결정하는 경우 경영의 건전성 확보 및 투자자 보호에 필요한 조건을 붙일 수 있다. 법제처 18 국가법령정보센 터 자본시장과 금융투자업에 관한 법률 ⑥ 제5항에 따라 조건이 붙은 업무 단위 추가등록을 한 자는 사정의 변경, 그 밖의 정당한 사 유가 있는 경우에는 금융위원회에 조건의 취소 또는 변경을 신청할 수 있다. 이 경우 금융위 원회는 그 내용을 심사하여 2개월 이내에 조건의 취소 또는 변경 여부를 결정하고, 그 결과 를 지체 없이 신청인에게 문서로 통지하여야 한다. ⑦ 제3항의 검토기간 및 제6항의 심사기간을 산정할 때에는 등록신청서 흠결의 보완기간 등 총리령으로 정하는 기간은 그 기간에서 제외한다. ⑧ 금융위원회는 제3항에 따라 업무 단위 추가등록을 결정하거나 제6항에 따라 그 등록의 조건을 취소 또는 변경한 경우에는 투자매매업자등록부 또는 투자중개업자등록부에 필요한 사항을 기재하여야 하며, 다음 각 호의 사항을 관보 및 인터넷 홈페이지 등에 공고하여야 한 다. 1. 업무 단위 추가등록의 내용 2. 업무 단위 추가등록의 조건(조건을 붙인 경우에 한정한다) 3. 업무 단위 추가등록의 조건을 취소하거나 변경한 경우 그 내용(조건을 취소하거나 변경한 경우에 한정한다) ⑨ 제3항부터 제8항까지의 규정에 따른 업무 단위 추가등록의 신청 또는 조건의 취소ㆍ변경 의 신청에 관한 사항과 등록검토 또는 조건의 취소ㆍ변경 심사의 방법ㆍ절차, 그 밖에 필요 한 사항은 대통령령으로 정한다. ⑩ 제1항에 따라 업무 단위 추가등록을 한 자는","number":"제16조","object":"금융투자업자의 업무 단위 추가등록 신청 및 등록 조건","subject":"금융위원회"},"type":"node"}		
{"id":205,"labels":["Article"],"properties":{"action":"변경인가를 받은 것으로 간주함","concept":"변경인가 의제","full_text":"제16조제1항에 따른 변경인가를 받은 것으로 본다. [본조신설 2021. 6. 8.]","number":"제16조제1항","object":"제16조제1항에 따른 변경인가","subject":"명시되지 않음"},"type":"node"}		
{"id":206,"labels":["Article"],"properties":{"action":"조직형태 변경에 따른 인가 신청 및 취득","concept":"외국 금융투자업자의 조직형태 변경에 따른 인가 특례","full_text":"제16조의3(외국 금융투자업자의 조직형태 변경에 따른 인가에 관한 특례)","number":"제16조의3","object":"금융투자업 인가","subject":"외국 금융투자업자"},"type":"node"}		
{"id":207,"labels":["Article"],"properties":{"action":"금융투자업 전부를 양도","concept":"외국 금융투자업자의 조직형태 변경에 따른 영업 양도","full_text":"제12조제2항제1호 각 목에 따라 금융투자업인가를 받은 외국 금융투자업자 또는 대통령령으로 정하는 외국 금융투자업자의 국내법인이 대통령령으로 정하는 조직형태 변경을 통하여 금융투자업 전부(이에 준하는 경우를 포함한다)를 양도하는 경우로서 영업을 양수하는 자가","number":"제12조제2항제1호","object":"금융투자업 전부(이에 준하는 경우를 포함)","subject":"금융투자업인가를 받은 외국 금융투자업자 또는 외국 금융투자업자의 국내법인"},"type":"node"}		
{"id":208,"labels":["Article"],"properties":{"action":"대통령령으로 정하는 바에 따라 신청 및 절차 이행","concept":"금융투자업 인가의 신청 및 절차","full_text":"제12조에 따른 금융 투자업인가를 받아야 하는 경우에는 대통령령으로 정하는 바에 따라","number":"제12조","object":"금융투자업 인가","subject":"금융투자업 인가를 받으려는 자"},"type":"node"}		
